Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 26/12/2025 ; 08:00 ; 00229 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00178 ; 00018 ; 00168 ; 00008 ; 00000 ; 00000
00001 ; 26/12/2025 ; 09:00 ; 00274 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00208 ; 00020 ; 00140 ; 00007 ; 00000 ; 00000
00001 ; 26/12/2025 ; 10:00 ; 00413 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00297 ; 00025 ; 00137 ; 00010 ; 00000 ; 00000
00001 ; 26/12/2025 ; 11:00 ; 00588 ; 00023 ; 00000 ; 00000 ; 00000 ; 00000 ; 00357 ; 00026 ; 00172 ; 00006 ; 00000 ; 00000
00001 ; 26/12/2025 ; 12:00 ; 00696 ; 00024 ; 00000 ; 00000 ; 00000 ; 00000 ; 00484 ; 00021 ; 00183 ; 00004 ; 00000 ; 00000
00001 ; 26/12/2025 ; 13:00 ; 00788 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00532 ; 00021 ; 00179 ; 00010 ; 00000 ; 00000
00001 ; 26/12/2025 ; 14:00 ; 00705 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00522 ; 00018 ; 00168 ; 00008 ; 00000 ; 00000
00001 ; 26/12/2025 ; 15:00 ; 00606 ; 00022 ; 00000 ; 00000 ; 00000 ; 00000 ; 00402 ; 00015 ; 00157 ; 00007 ; 00000 ; 00000
00001 ; 26/12/2025 ; 16:00 ; 00601 ; 00027 ; 00000 ; 00000 ; 00000 ; 00000 ; 00356 ; 00016 ; 00123 ; 00005 ; 00000 ; 00000
00001 ; 26/12/2025 ; 17:00 ; 00636 ; 00020 ; 00000 ; 00000 ; 00000 ; 00000 ; 00393 ; 00015 ; 00160 ; 00004 ; 00000 ; 00000
00001 ; 26/12/2025 ; 18:00 ; 00758 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00513 ; 00014 ; 00169 ; 00006 ; 00000 ; 00000
00001 ; 26/12/2025 ; 19:00 ; 00696 ; 00024 ; 00000 ; 00000 ; 00000 ; 00000 ; 00462 ; 00014 ; 00121 ; 00004 ; 00000 ; 00000
00001 ; 26/12/2025 ; 20:00 ; 00575 ; 00021 ; 00000 ; 00000 ; 00000 ; 00000 ; 00426 ; 00014 ; 00112 ; 00006 ; 00000 ; 00000
00001 ; 26/12/2025 ; 21:00 ; 00453 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00350 ; 00008 ; 00096 ; 00003 ; 00000 ; 00000
00001 ; 26/12/2025 ; 22:00 ; 00244 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00216 ; 00011 ; 00061 ; 00005 ; 00000 ; 00000
00001 ; 26/12/2025 ; 23:00 ; 00171 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00110 ; 00009 ; 00038 ; 00001 ; 00000 ; 00000
00001 ; 26/12/2025 ; 24:00 ; 00108 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00068 ; 00004 ; 00029 ; 00001 ; 00000 ; 00000
00001 ; 27/12/2025 ; 01:00 ; 00068 ; 00008 ; 00000 ; 00000 ; 00000 ; 00000 ; 00033 ; 00006 ; 00012 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 02:00 ; 00024 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00025 ; 00003 ; 00006 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 03:00 ; 00016 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00002 ; 00005 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 04:00 ; 00012 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00009 ; 00003 ; 00002 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 05:00 ; 00015 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00009 ; 00003 ; 00000 ; 00000
00001 ; 27/12/2025 ; 06:00 ; 00051 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00027 ; 00002 ; 00016 ; 00000 ; 00000 ; 00000
00001 ; 27/12/2025 ; 07:00 ; 00071 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00040 ; 00003 ; 00020 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 08:00 ; 00094 ; 00018 ; 00000 ; 00000 ; 00000 ; 00000 ; 00074 ; 00009 ; 00055 ; 00006 ; 00000 ; 00000
00001 ; 27/12/2025 ; 09:00 ; 00170 ; 00019 ; 00000 ; 00000 ; 00000 ; 00000 ; 00102 ; 00012 ; 00083 ; 00002 ; 00000 ; 00000
00001 ; 27/12/2025 ; 10:00 ; 00292 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00192 ; 00009 ; 00080 ; 00005 ; 00000 ; 00000
00001 ; 27/12/2025 ; 11:00 ; 00462 ; 00016 ; 00000 ; 00000 ; 00000 ; 00000 ; 00285 ; 00010 ; 00113 ; 00003 ; 00000 ; 00000
00001 ; 27/12/2025 ; 12:00 ; 00538 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00358 ; 00013 ; 00142 ; 00004 ; 00000 ; 00000
00001 ; 27/12/2025 ; 13:00 ; 00531 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00355 ; 00011 ; 00178 ; 00007 ; 00000 ; 00000
00001 ; 27/12/2025 ; 14:00 ; 00558 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00356 ; 00009 ; 00151 ; 00004 ; 00000 ; 00000
00001 ; 27/12/2025 ; 15:00 ; 00428 ; 00011 ; 00000 ; 00000 ; 00000 ; 00000 ; 00351 ; 00015 ; 00132 ; 00004 ; 00000 ; 00000
